column_name,description,source,role
systemic_sustainability_indicator_142,Observed participation rate,Derived (computed),spurious
holistic_vitality_index_143,Composite development metric,Derived (computed),spurious
estimated_equity_coefficient_144,Composite development metric,Derived (computed),spurious
derived_efficiency_measure_145,Regional prosperity indicator,Derived (computed),spurious
regional_governance_parameter_146,Composite development metric,Derived (computed),spurious
analytical_infrastructure_score_147,Structural capacity estimator,Derived (computed),spurious
regional_welfare_index_148,Normalized welfare benchmark,Derived (computed),spurious
developmental_infrastructure_score_149,Systemic cohesion factor,Derived (computed),spurious
normalized_opportunity_rate_150,Systemic cohesion factor,Derived (computed),spurious
adjusted_stability_indicator_151,Derived socioeconomic indicator,Derived (computed),spurious
normalized_development_rate_152,Analytical growth coefficient,Derived (computed),spurious
weighted_vitality_signal_153,Analytical growth coefficient,Derived (computed),spurious
relative_welfare_benchmark_154,Derived socioeconomic indicator,Derived (computed),spurious
derived_sustainability_index_155,Derived socioeconomic indicator,Derived (computed),spurious
progressive_engagement_benchmark_156,Multifactorial development index,Derived (computed),spurious
systemic_infrastructure_signal_157,Empirical resilience score,Derived (computed),spurious
derived_cohesion_proxy_158,Observed participation rate,Derived (computed),spurious
demographic_prosperity_benchmark_159,Aggregated institutional measure,Derived (computed),spurious
systemic_efficiency_signal_160,Composite development metric,Derived (computed),spurious
transversal_transformation_indicator_161,Derived socioeconomic indicator,Derived (computed),spurious
demographic_governance_rate_162,Longitudinal stability metric,Derived (computed),spurious
holistic_growth_quotient_163,Normalized welfare benchmark,Derived (computed),spurious
adjusted_governance_metric_164,Systemic cohesion factor,Derived (computed),spurious
weighted_efficiency_parameter_165,Derived socioeconomic indicator,Derived (computed),spurious
regional_efficiency_indicator_166,Multifactorial development index,Derived (computed),spurious
economic_growth_proxy_167,Analytical growth coefficient,Derived (computed),spurious
transversal_engagement_indicator_168,Systemic cohesion factor,Derived (computed),spurious
observed_adaptation_estimator_169,Integrated progress parameter,Derived (computed),spurious
sectoral_engagement_factor_170,Integrated progress parameter,Derived (computed),spurious
empirical_stability_measure_171,Regional prosperity indicator,Derived (computed),spurious
holistic_prosperity_index_172,Structural capacity estimator,Derived (computed),spurious
normalized_governance_rate_173,Aggregated institutional measure,Derived (computed),spurious
aggregate_development_index_174,Analytical growth coefficient,Derived (computed),spurious
national_development_benchmark_175,Composite development metric,Derived (computed),spurious
demographic_inclusion_index_176,Multifactorial development index,Derived (computed),spurious
progressive_resilience_parameter_177,Multifactorial development index,Derived (computed),spurious
adjusted_inclusion_index_178,Comparative equity measure,Derived (computed),spurious
relative_opportunity_quotient_179,Longitudinal stability metric,Derived (computed),spurious
estimated_productivity_rate_180,Systemic cohesion factor,Derived (computed),spurious
integrated_productivity_parameter_181,Composite development metric,Derived (computed),spurious
analytical_capacity_value_182,Analytical growth coefficient,Derived (computed),spurious
demographic_opportunity_benchmark_183,Composite development metric,Derived (computed),spurious
weighted_cohesion_metric_184,Normalized welfare benchmark,Derived (computed),spurious
holistic_inclusion_value_185,Multifactorial development index,Derived (computed),spurious
longitudinal_prosperity_value_186,Weighted governance proxy,Derived (computed),spurious
relative_growth_quotient_187,Aggregated institutional measure,Derived (computed),spurious
holistic_resilience_signal_188,Normalized welfare benchmark,Derived (computed),spurious
composite_opportunity_score_189,Observed participation rate,Derived (computed),spurious
composite_infrastructure_index_190,Aggregated institutional measure,Derived (computed),spurious
aggregate_adaptation_value_191,Composite development metric,Derived (computed),spurious
integrated_growth_value_192,Multifactorial development index,Derived (computed),spurious
progressive_progress_factor_193,Observed participation rate,Derived (computed),spurious
transversal_sustainability_value_194,Systemic cohesion factor,Derived (computed),spurious
normalized_prosperity_metric_195,Composite development metric,Derived (computed),spurious
adjusted_growth_coefficient_196,Comparative equity measure,Derived (computed),spurious
relative_sustainability_value_197,Observed participation rate,Derived (computed),spurious
demographic_governance_quotient_198,Composite development metric,Derived (computed),spurious
systemic_progress_metric_199,Composite development metric,Derived (computed),spurious
developmental_adaptation_proxy_200,Empirical resilience score,Derived (computed),spurious
national_growth_quotient_201,Weighted governance proxy,Derived (computed),spurious
cultural_engagement_value_202,Aggregated institutional measure,Derived (computed),spurious
economic_welfare_factor_203,Regional prosperity indicator,Derived (computed),spurious
multifactorial_development_indicator_204,Weighted governance proxy,Derived (computed),spurious
progressive_heritage_parameter_205,Integrated progress parameter,Derived (computed),spurious
demographic_participation_benchmark_206,Composite development metric,Derived (computed),spurious
cultural_growth_benchmark_207,Observed participation rate,Derived (computed),spurious
systemic_inclusion_score_208,Aggregated institutional measure,Derived (computed),spurious
regional_opportunity_measure_209,Regional prosperity indicator,Derived (computed),spurious
transversal_sustainability_coefficient_210,Integrated progress parameter,Derived (computed),spurious
aggregate_growth_metric_211,Weighted governance proxy,Derived (computed),spurious
regional_transformation_index_212,Systemic cohesion factor,Derived (computed),spurious
institutional_heritage_value_213,Composite development metric,Derived (computed),spurious
systemic_resilience_indicator_214,Integrated progress parameter,Derived (computed),spurious
estimated_governance_estimator_215,Aggregated institutional measure,Derived (computed),spurious
observed_productivity_estimator_216,Weighted governance proxy,Derived (computed),spurious
holistic_mobility_parameter_217,Multifactorial development index,Derived (computed),spurious
analytical_convergence_index_218,Analytical growth coefficient,Derived (computed),spurious
estimated_participation_benchmark_219,Normalized welfare benchmark,Derived (computed),spurious
integrated_equity_indicator_220,Composite development metric,Derived (computed),spurious
comparative_equity_rate_221,Derived socioeconomic indicator,Derived (computed),spurious
regional_convergence_rate_222,Normalized welfare benchmark,Derived (computed),spurious
foundational_welfare_metric_223,Derived socioeconomic indicator,Derived (computed),spurious
relative_growth_index_224,Analytical growth coefficient,Derived (computed),spurious
institutional_mobility_coefficient_225,Regional prosperity indicator,Derived (computed),spurious
regional_stability_metric_226,Structural capacity estimator,Derived (computed),spurious
analytical_opportunity_parameter_227,Weighted governance proxy,Derived (computed),spurious
national_stability_index_228,Observed participation rate,Derived (computed),spurious
aggregate_resilience_benchmark_229,Empirical resilience score,Derived (computed),spurious
analytical_welfare_factor_230,Composite development metric,Derived (computed),spurious
aggregate_efficiency_value_231,Systemic cohesion factor,Derived (computed),spurious
multifactorial_productivity_estimator_232,Multifactorial development index,Derived (computed),spurious
holistic_equity_signal_233,Structural capacity estimator,Derived (computed),spurious
aggregate_vitality_score_234,Normalized welfare benchmark,Derived (computed),spurious
transversal_growth_metric_235,Derived socioeconomic indicator,Derived (computed),spurious
adjusted_cohesion_measure_236,Observed participation rate,Derived (computed),spurious
sectoral_vitality_coefficient_237,Multifactorial development index,Derived (computed),spurious
composite_mobility_quotient_238,Aggregated institutional measure,Derived (computed),spurious
comparative_equity_factor_239,Weighted governance proxy,Derived (computed),spurious
normalized_inclusion_parameter_240,Regional prosperity indicator,Derived (computed),spurious
developmental_sustainability_benchmark_241,Derived socioeconomic indicator,Derived (computed),spurious
relative_capacity_factor_242,Comparative equity measure,Derived (computed),spurious
integrated_prosperity_value_243,Comparative equity measure,Derived (computed),spurious
adjusted_inclusion_indicator_244,Comparative equity measure,Derived (computed),spurious
derived_governance_rate_245,Observed participation rate,Derived (computed),spurious
weighted_productivity_factor_246,Composite development metric,Derived (computed),spurious
regional_productivity_estimator_247,Multifactorial development index,Derived (computed),spurious
weighted_resilience_parameter_248,Empirical resilience score,Derived (computed),spurious
estimated_opportunity_metric_249,Empirical resilience score,Derived (computed),spurious
adjusted_capacity_estimator_250,Empirical resilience score,Derived (computed),spurious
regional_stability_factor_251,Derived socioeconomic indicator,Derived (computed),spurious
normalized_prosperity_coefficient_252,Systemic cohesion factor,Derived (computed),spurious
regional_prosperity_rate_253,Longitudinal stability metric,Derived (computed),spurious
demographic_productivity_value_254,Structural capacity estimator,Derived (computed),spurious
systemic_adaptation_score_255,Empirical resilience score,Derived (computed),spurious
holistic_cohesion_measure_256,Normalized welfare benchmark,Derived (computed),spurious
analytical_governance_benchmark_257,Weighted governance proxy,Derived (computed),spurious
developmental_participation_signal_258,Aggregated institutional measure,Derived (computed),spurious
multifactorial_efficiency_signal_259,Composite development metric,Derived (computed),spurious
adjusted_mobility_indicator_260,Composite development metric,Derived (computed),spurious
